trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
184,False,"{'a': 0.5, 'e': 0.8318592181943675}",20,9,-12.62888227808744,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.8310273589761731}",30,0,-137.38856329256953,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
186,False,"{'a': 0.5, 'e': 0.8301963316171969}",20,2,-63.90206021554594,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
187,False,"{'a': 0.5, 'e': 0.8293661352855797}",30,8,-82.23022672423029,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.8285367691502941}",25,0,-143.05048960177325,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
189,False,"{'a': 0.5, 'e': 0.8277082323811439}",30,14,-18.435726492938947,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.8268805241487627}",30,0,-77.54671306042358,"{0: 20, 1: 2, 2: 7, 3: 1, 4: 0}",0
191,False,"{'a': 0.5, 'e': 0.8260536436246139}",20,0,-41.29294507438601,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
192,False,"{'a': 0.5, 'e': 0.8252275899809893}",25,0,-77.47361036844035,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
193,False,"{'a': 0.5, 'e': 0.8244023623910083}",30,0,-102.85514259892402,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
194,False,"{'a': 0.5, 'e': 0.8235779600286173}",20,0,-87.40650516402417,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
195,False,"{'a': 0.5, 'e': 0.8227543820685886}",20,0,-17.29855123172969,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.8219316276865201}",20,9,-55.42993682588298,"{0: 6, 1: 3, 2: 1, 3: 0, 4: 1}",1
197,False,"{'a': 0.5, 'e': 0.8211096960588335}",20,0,-63.78674325797965,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
198,False,"{'a': 0.5, 'e': 0.8202885863627747}",20,0,-39.39356536329226,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
199,False,"{'a': 0.5, 'e': 0.819468297776412}",20,0,-168.5922785863009,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
200,False,"{'a': 0.5, 'e': 0.8186488294786356}",25,0,-58.3847777153453,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
201,False,"{'a': 0.5, 'e': 0.8178301806491569}",25,0,-92.52087846970919,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
202,False,"{'a': 0.5, 'e': 0.8170123504685077}",20,0,-27.276649058614062,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
203,False,"{'a': 0.5, 'e': 0.8161953381180392}",20,0,-48.89688122736836,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
204,False,"{'a': 0.5, 'e': 0.8153791427799212}",20,1,-55.639925890122214,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 0}",1
205,False,"{'a': 0.5, 'e': 0.8145637636371413}",20,0,-85.20635385855302,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
206,False,"{'a': 0.5, 'e': 0.8137491998735041}",25,2,-78.70010017093959,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 1}",1
207,False,"{'a': 0.5, 'e': 0.8129354506736306}",20,0,-94.61891725627919,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
208,False,"{'a': 0.5, 'e': 0.812122515222957}",20,0,-32.102368228535546,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
209,False,"{'a': 0.5, 'e': 0.8113103927077341}",30,0,-79.53444861872521,"{0: 20, 1: 1, 2: 8, 3: 1, 4: 0}",0
210,False,"{'a': 0.5, 'e': 0.8104990823150263}",25,0,-58.408304191766064,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
211,False,"{'a': 0.5, 'e': 0.8096885832327113}",25,5,0.3837387376682455,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
212,False,"{'a': 0.5, 'e': 0.8088788946494786}",25,0,-61.49518530399692,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
213,False,"{'a': 0.5, 'e': 0.8080700157548292}",20,0,-55.0588888844512,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
214,False,"{'a': 0.5, 'e': 0.8072619457390743}",25,0,-131.81977704889945,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
215,False,"{'a': 0.5, 'e': 0.8064546837933352}",25,0,-74.20718079750014,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
216,False,"{'a': 0.5, 'e': 0.8056482291095419}",20,0,-37.70074383099599,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
217,False,"{'a': 0.5, 'e': 0.8048425808804324}",20,0,-97.61575273431302,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
218,False,"{'a': 0.5, 'e': 0.8040377382995519}",20,0,-80.08115245297249,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
219,False,"{'a': 0.5, 'e': 0.8032337005612523}",25,0,-61.290277804851186,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
220,False,"{'a': 0.5, 'e': 0.8024304668606911}",25,5,-60.554415740137635,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",1
221,False,"{'a': 0.5, 'e': 0.8016280363938304}",20,0,-71.723204167396,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
222,False,"{'a': 0.5, 'e': 0.8008264083574366}",25,8,-36.42789462038202,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 0}",1
223,False,"{'a': 0.5, 'e': 0.8000255819490791}",25,5,-42.996044493012036,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",1
224,False,"{'a': 0.5, 'e': 0.79922555636713}",30,0,-96.14981190280155,"{0: 19, 1: 2, 2: 7, 3: 2, 4: 0}",0
225,False,"{'a': 0.5, 'e': 0.798426330810763}",20,0,-141.73875648325165,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
226,False,"{'a': 0.5, 'e': 0.7976279044799521}",20,0,-80.59847481059784,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
227,False,"{'a': 0.5, 'e': 0.7968302765754722}",30,0,-49.879428507786,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
228,False,"{'a': 0.5, 'e': 0.7960334462988967}",25,0,-127.0897526302931,"{0: 15, 1: 2, 2: 4, 3: 3, 4: 1}",0
229,False,"{'a': 0.5, 'e': 0.7952374128525979}",35,0,-173.8719352497721,"{0: 23, 1: 0, 2: 8, 3: 2, 4: 2}",0
230,False,"{'a': 0.5, 'e': 0.7944421754397453}",25,0,-135.43024204796077,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
231,False,"{'a': 0.5, 'e': 0.7936477332643055}",25,0,-67.53559214552693,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
232,False,"{'a': 0.5, 'e': 0.7928540855310412}",25,0,-84.16573951105991,"{0: 17, 1: 0, 2: 5, 3: 3, 4: 0}",0
233,False,"{'a': 0.5, 'e': 0.7920612314455101}",25,11,-8.720369360252498,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
234,False,"{'a': 0.5, 'e': 0.7912691702140646}",20,0,-85.37751227484267,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
235,False,"{'a': 0.5, 'e': 0.7904779010438505}",30,0,-72.0914049754683,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
236,False,"{'a': 0.5, 'e': 0.7896874231428067}",20,0,-101.36465353499698,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
237,False,"{'a': 0.5, 'e': 0.7888977357196639}",20,0,-140.93764948280284,"{0: 13, 1: 0, 2: 2, 3: 3, 4: 2}",0
238,False,"{'a': 0.5, 'e': 0.7881088379839443}",20,0,-46.95952800750602,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
239,False,"{'a': 0.5, 'e': 0.7873207291459603}",25,0,-32.79497294466734,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
240,False,"{'a': 0.5, 'e': 0.7865334084168143}",30,0,-81.49010918706767,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
241,False,"{'a': 0.5, 'e': 0.7857468750083976}",20,0,-40.30120810821573,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
242,False,"{'a': 0.5, 'e': 0.7849611281333891}",20,0,-21.651348087175087,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",1
243,False,"{'a': 0.5, 'e': 0.7841761670052557}",20,0,-53.40627816861792,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
244,False,"{'a': 0.5, 'e': 0.7833919908382505}",30,0,-180.89041171485096,"{0: 20, 1: 2, 2: 2, 3: 3, 4: 3}",0
245,False,"{'a': 0.5, 'e': 0.7826085988474122}",25,0,-102.22506526665809,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
246,False,"{'a': 0.5, 'e': 0.7818259902485648}",25,0,-83.47580391663504,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
247,False,"{'a': 0.5, 'e': 0.7810441642583162}",20,0,-47.028874804717944,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
248,False,"{'a': 0.5, 'e': 0.780263120094058}",20,0,-52.8494988046469,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
249,False,"{'a': 0.5, 'e': 0.7794828569739639}",30,0,-65.32744891931787,"{0: 25, 1: 1, 2: 1, 3: 2, 4: 1}",0
250,False,"{'a': 0.5, 'e': 0.7787033741169899}",25,0,-132.10409199603635,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
251,False,"{'a': 0.5, 'e': 0.7779246707428729}",20,0,-45.83342748095667,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
252,False,"{'a': 0.5, 'e': 0.7771467460721301}",30,0,-226.81987739506246,"{0: 19, 1: 0, 2: 6, 3: 1, 4: 4}",0
253,False,"{'a': 0.5, 'e': 0.7763695993260579}",20,11,-1.8856552653479834,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
254,False,"{'a': 0.5, 'e': 0.7755932297267318}",20,6,-18.995244018539164,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
255,False,"{'a': 0.5, 'e': 0.7748176364970051}",20,0,-68.81415031729992,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
256,False,"{'a': 0.5, 'e': 0.7740428188605081}",25,0,-137.13053164695899,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
257,False,"{'a': 0.5, 'e': 0.7732687760416476}",20,0,-114.83861624298777,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
258,False,"{'a': 0.5, 'e': 0.7724955072656059}",20,0,-94.71484363833234,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
259,False,"{'a': 0.5, 'e': 0.7717230117583403}",25,11,1.4154431270573415,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
260,False,"{'a': 0.5, 'e': 0.770951288746582}",25,8,1.2410456337278633,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
261,False,"{'a': 0.5, 'e': 0.7701803374578354}",20,0,-49.0851745669215,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
262,False,"{'a': 0.5, 'e': 0.7694101571203776}",25,7,-18.387115130179176,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
263,False,"{'a': 0.5, 'e': 0.7686407469632572}",25,0,-114.13893157050379,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
264,False,"{'a': 0.5, 'e': 0.767872106216294}",35,21,-16.074073531250168,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
265,False,"{'a': 0.5, 'e': 0.7671042341100777}",25,0,-87.72940439543063,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
266,False,"{'a': 0.5, 'e': 0.7663371298759676}",20,8,-99.72455423397258,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 2}",1
267,False,"{'a': 0.5, 'e': 0.7655707927460916}",30,18,-18.208682836816237,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
268,False,"{'a': 0.5, 'e': 0.7648052219533455}",25,0,-61.66497417719941,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
269,False,"{'a': 0.5, 'e': 0.7640404167313922}",20,0,-25.21364031984066,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
270,False,"{'a': 0.5, 'e': 0.7632763763146607}",20,0,-90.50020987251104,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
271,False,"{'a': 0.5, 'e': 0.7625130999383462}",25,0,-76.82448017376811,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
272,False,"{'a': 0.5, 'e': 0.7617505868384078}",30,0,-109.41515883577858,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
273,False,"{'a': 0.5, 'e': 0.7609888362515693}",25,12,-34.663929695136865,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 1}",1
274,False,"{'a': 0.5, 'e': 0.7602278474153178}",20,0,-29.32071840159422,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
275,False,"{'a': 0.5, 'e': 0.7594676195679024}",25,0,-128.1403621148146,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
276,False,"{'a': 0.5, 'e': 0.7587081519483346}",25,0,-50.76454811702045,"{0: 18, 1: 5, 2: 1, 3: 0, 4: 1}",0
277,False,"{'a': 0.5, 'e': 0.7579494437963862}",20,0,-93.9324448937491,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
278,False,"{'a': 0.5, 'e': 0.7571914943525898}",25,0,-44.75073220260554,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
279,False,"{'a': 0.5, 'e': 0.7564343028582373}",20,0,-73.63510018800838,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
280,False,"{'a': 0.5, 'e': 0.755677868555379}",30,0,-53.281772346820276,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 0}",0
281,False,"{'a': 0.5, 'e': 0.7549221906868236}",25,14,-41.03718163043044,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
282,False,"{'a': 0.5, 'e': 0.7541672684961368}",20,0,-86.95783179972648,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
283,False,"{'a': 0.5, 'e': 0.7534131012276407}",20,9,-32.70444255763579,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
284,False,"{'a': 0.5, 'e': 0.752659688126413}",25,0,-108.45177652691207,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
285,False,"{'a': 0.5, 'e': 0.7519070284382866}",20,0,-159.54690698683822,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
286,False,"{'a': 0.5, 'e': 0.7511551214098483}",25,0,-54.49708734902884,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
287,False,"{'a': 0.5, 'e': 0.7504039662884385}",35,0,-129.88296426856115,"{0: 25, 1: 1, 2: 6, 3: 1, 4: 2}",0
288,False,"{'a': 0.5, 'e': 0.7496535623221501}",20,0,-18.34364030584219,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
289,False,"{'a': 0.5, 'e': 0.7489039087598279}",25,0,-171.36254436926467,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
290,False,"{'a': 0.5, 'e': 0.7481550048510681}",20,2,-92.76716477167939,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 1}",1
291,False,"{'a': 0.5, 'e': 0.747406849846217}",20,1,-102.85060608836741,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 2}",1
292,False,"{'a': 0.5, 'e': 0.7466594429963708}",25,0,-84.55533548086095,"{0: 18, 1: 3, 2: 1, 3: 2, 4: 1}",0
293,False,"{'a': 0.5, 'e': 0.7459127835533744}",25,19,4.23188989263233,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.5, 'e': 0.745166870769821}",30,4,-116.16489846729723,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 1}",1
295,False,"{'a': 0.5, 'e': 0.7444217038990513}",25,0,-138.24187747542734,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
296,False,"{'a': 0.5, 'e': 0.7436772821951522}",25,0,-165.9235947898257,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
297,False,"{'a': 0.5, 'e': 0.742933604912957}",20,6,-17.41801917297331,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
298,False,"{'a': 0.5, 'e': 0.7421906713080441}",25,4,-55.08601814164341,"{0: 14, 1: 2, 2: 3, 3: 2, 4: 0}",1
299,False,"{'a': 0.5, 'e': 0.741448480636736}",25,0,-33.857230088470644,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
300,False,"{'a': 0.5, 'e': 0.7407070321560992}",30,2,-49.301678434182776,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 0}",1
301,False,"{'a': 0.5, 'e': 0.7399663251239432}",25,0,-210.79384657630453,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 5}",0
302,False,"{'a': 0.5, 'e': 0.7392263587988193}",20,0,-131.13480283874347,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
303,False,"{'a': 0.5, 'e': 0.7384871324400204}",25,0,-47.36073336490709,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
304,False,"{'a': 0.5, 'e': 0.7377486453075804}",25,9,-27.208007617348642,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 0}",1
305,False,"{'a': 0.5, 'e': 0.7370108966622728}",30,0,-10.550122685101028,"{0: 26, 1: 0, 2: 3, 3: 1, 4: 0}",0
306,False,"{'a': 0.5, 'e': 0.7362738857656105}",25,0,-101.22128667585568,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
307,False,"{'a': 0.5, 'e': 0.7355376118798449}",20,0,-161.13336224071512,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
308,False,"{'a': 0.5, 'e': 0.7348020742679651}",20,0,-106.18049268604135,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
309,False,"{'a': 0.5, 'e': 0.734067272193697}",20,0,-33.450552783057276,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
310,False,"{'a': 0.5, 'e': 0.7333332049215034}",20,3,-39.34205970555864,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 1}",1
311,False,"{'a': 0.5, 'e': 0.7325998717165819}",30,19,-58.087406824096334,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 1}",1
312,False,"{'a': 0.5, 'e': 0.7318672718448653}",30,15,-33.91488525855961,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 0}",1
313,False,"{'a': 0.5, 'e': 0.7311354045730205}",20,0,-70.15358442457294,"{0: 15, 1: 2, 2: 0, 3: 2, 4: 1}",0
314,False,"{'a': 0.5, 'e': 0.7304042691684475}",30,1,-9.254455914446643,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 0}",1
315,False,"{'a': 0.5, 'e': 0.729673864899279}",25,2,-99.35053681084166,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 2}",1
316,False,"{'a': 0.5, 'e': 0.7289441910343797}",25,12,-45.927423333876355,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 0}",1
317,False,"{'a': 0.5, 'e': 0.7282152468433454}",20,0,-143.52638327349868,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
318,False,"{'a': 0.5, 'e': 0.727487031596502}",20,10,5.3354727421880925,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
319,False,"{'a': 0.5, 'e': 0.7267595445649054}",25,9,-75.4351596023779,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 1}",1
320,False,"{'a': 0.5, 'e': 0.7260327850203406}",20,0,-77.33928447683667,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
321,False,"{'a': 0.5, 'e': 0.7253067522353203}",20,0,-80.17582766018373,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",1
322,False,"{'a': 0.5, 'e': 0.7245814454830849}",20,16,5.689656336707127,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.5, 'e': 0.7238568640376019}",25,0,-64.02004190531598,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
324,False,"{'a': 0.5, 'e': 0.7231330071735642}",25,0,-57.2335038925969,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
325,False,"{'a': 0.5, 'e': 0.7224098741663907}",20,10,-55.62440065736466,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 1}",1
326,False,"{'a': 0.5, 'e': 0.7216874642922243}",20,0,-108.45233974634633,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
327,False,"{'a': 0.5, 'e': 0.7209657768279321}",30,0,-48.58268804940127,"{0: 21, 1: 6, 2: 2, 3: 1, 4: 0}",0
328,False,"{'a': 0.5, 'e': 0.720244811051104}",30,0,-64.51449346547858,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
329,False,"{'a': 0.5, 'e': 0.719524566240053}",20,0,-38.26559600773175,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
330,False,"{'a': 0.5, 'e': 0.718805041673813}",20,10,-0.5531293343282355,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
331,False,"{'a': 0.5, 'e': 0.7180862366321391}",25,0,-61.943094947658416,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
332,False,"{'a': 0.5, 'e': 0.717368150395507}",20,15,3.5365949283974523,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.5, 'e': 0.7166507822451115}",35,0,-88.61076877206915,"{0: 25, 1: 3, 2: 5, 3: 1, 4: 1}",0
334,False,"{'a': 0.5, 'e': 0.7159341314628663}",20,0,-11.48122264307261,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
335,False,"{'a': 0.5, 'e': 0.7152181973314035}",30,16,-8.64757129370081,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
336,False,"{'a': 0.5, 'e': 0.7145029791340721}",30,0,-35.38755316775757,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
337,False,"{'a': 0.5, 'e': 0.713788476154938}",25,0,-36.26362641808462,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
338,False,"{'a': 0.5, 'e': 0.7130746876787831}",20,0,-18.911876530399397,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
339,False,"{'a': 0.5, 'e': 0.7123616129911043}",20,0,-156.66149974168349,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
340,False,"{'a': 0.5, 'e': 0.7116492513781132}",25,6,-69.28404373857153,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 1}",1
341,False,"{'a': 0.5, 'e': 0.7109376021267351}",20,0,-53.57162580060612,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
342,False,"{'a': 0.5, 'e': 0.7102266645246084}",20,0,-101.92182700631372,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
343,False,"{'a': 0.5, 'e': 0.7095164378600838}",20,0,-43.30274650564409,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
344,False,"{'a': 0.5, 'e': 0.7088069214222237}",20,0,-81.20298441057939,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
345,False,"{'a': 0.5, 'e': 0.7080981145008014}",30,13,1.967830773497676,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
346,False,"{'a': 0.5, 'e': 0.7073900163863006}",20,0,-78.32213688177818,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
347,False,"{'a': 0.5, 'e': 0.7066826263699143}",30,15,-16.288151824300556,"{0: 10, 1: 3, 2: 2, 3: 0, 4: 0}",1
348,False,"{'a': 0.5, 'e': 0.7059759437435444}",20,0,-118.86338521299434,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
349,False,"{'a': 0.5, 'e': 0.7052699677998009}",20,11,16.071289617682805,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.5, 'e': 0.704564697832001}",30,0,-80.38069212907763,"{0: 22, 1: 1, 2: 6, 3: 0, 4: 1}",0
351,False,"{'a': 0.5, 'e': 0.7038601331341691}",30,0,-135.59260763944712,"{0: 21, 1: 0, 2: 6, 3: 1, 4: 2}",0
352,False,"{'a': 0.5, 'e': 0.7031562730010349}",20,0,-87.86465482136863,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
353,False,"{'a': 0.5, 'e': 0.7024531167280339}",25,0,-56.32453531505978,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
354,False,"{'a': 0.5, 'e': 0.7017506636113058}",25,13,-7.219890200959305,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
355,False,"{'a': 0.5, 'e': 0.7010489129476946}",25,0,-95.1007564896693,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
356,False,"{'a': 0.5, 'e': 0.7003478640347468}",20,10,-19.708221596900945,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
357,False,"{'a': 0.5, 'e': 0.6996475161707121}",20,0,-117.1422511978646,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
358,False,"{'a': 0.5, 'e': 0.6989478686545414}",20,16,6.919092763545827,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
359,False,"{'a': 0.5, 'e': 0.6982489207858869}",30,0,-191.6349122431947,"{0: 20, 1: 0, 2: 6, 3: 0, 4: 4}",0
360,False,"{'a': 0.5, 'e': 0.6975506718651009}",25,11,14.429544372931622,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,False,"{'a': 0.5, 'e': 0.6968531211932358}",20,12,4.7077309503302125,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
362,False,"{'a': 0.5, 'e': 0.6961562680720426}",20,9,-34.042236985392584,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
363,False,"{'a': 0.5, 'e': 0.6954601118039706}",30,0,-167.09899106325074,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
364,False,"{'a': 0.5, 'e': 0.6947646516921666}",35,7,-137.73797040518207,"{0: 18, 1: 2, 2: 4, 3: 2, 4: 2}",1
365,False,"{'a': 0.5, 'e': 0.6940698870404745}",20,0,-22.703782548621177,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
366,False,"{'a': 0.5, 'e': 0.693375817153434}",25,0,-41.64015466035683,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
367,False,"{'a': 0.5, 'e': 0.6926824413362805}",30,10,-64.419579991128,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",1
