trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.5, 'e': 0.9578907814534663}",30,0,-56.43397719879993,"{0: 21, 1: 4, 2: 3, 3: 2, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.9569328906720128}",25,0,-144.8229164511461,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
45,False,"{'a': 0.5, 'e': 0.9559759577813408}",25,0,-125.0639447000959,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.9550199818235595}",25,0,-185.11655232520528,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
47,False,"{'a': 0.5, 'e': 0.954064961841736}",30,9,-1.742151654892576,"{0: 17, 1: 3, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.9531108968798943}",25,2,-127.00990985579834,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 3}",1
49,False,"{'a': 0.5, 'e': 0.9521577859830144}",25,0,-79.4886593259045,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.9512056281970314}",20,10,-82.56460289652395,"{0: 4, 1: 1, 2: 4, 3: 0, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.9502544225688343}",30,0,-125.79499735151582,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.9493041681462654}",30,0,-131.54985691450452,"{0: 18, 1: 1, 2: 10, 3: 0, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.9483548639781192}",20,10,-19.63123644239522,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.947406509114141}",20,0,-37.31354768068802,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.9464591026050269}",20,0,-118.19267711124581,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.9455126435024219}",25,0,-101.15179863240901,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.9445671308589194}",20,0,-133.83818202015723,"{0: 13, 1: 1, 2: 1, 3: 3, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.9436225637280605}",20,0,-182.37036477537657,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
59,False,"{'a': 0.5, 'e': 0.9426789411643325}",25,0,-200.5292520762533,"{0: 11, 1: 6, 2: 4, 3: 1, 4: 3}",0
60,False,"{'a': 0.5, 'e': 0.9417362622231682}",20,0,-63.08869209315148,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.9407945259609449}",20,0,-73.21986380157091,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.9398537314349841}",25,0,-163.1624941967769,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.9389138777035491}",20,0,-60.96050820128956,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.9379749638258456}",20,0,-22.06349597188529,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.9370369888620197}",25,0,-64.1000404201765,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.9360999518731576}",20,0,-22.700799039932054,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.9351638519212845}",20,0,-84.88298320419818,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.9342286880693632}",25,0,-156.54363658234263,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.9332944593812939}",30,0,-159.2162359077149,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
70,False,"{'a': 0.5, 'e': 0.9323611649219126}",20,0,-133.25121276384203,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
71,False,"{'a': 0.5, 'e': 0.9314288037569907}",30,14,-124.0379965228961,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 2}",1
72,False,"{'a': 0.5, 'e': 0.9304973749532336}",25,0,-205.05176668290588,"{0: 9, 1: 4, 2: 8, 3: 2, 4: 2}",0
73,False,"{'a': 0.5, 'e': 0.9295668775782804}",25,0,-164.29635487937375,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
74,False,"{'a': 0.5, 'e': 0.9286373107007021}",25,0,-34.43266200764861,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.9277086733900014}",25,0,-165.74587470792596,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.9267809647166114}",20,0,-102.86636163688182,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.9258541837518948}",20,0,-192.87854923521158,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 4}",0
78,False,"{'a': 0.5, 'e': 0.9249283295681429}",20,0,-147.80288761945954,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
79,False,"{'a': 0.5, 'e': 0.9240034012385747}",25,0,-172.39391611685073,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
80,False,"{'a': 0.5, 'e': 0.9230793978373362}",20,8,-76.16630231107975,"{0: 6, 1: 2, 2: 2, 3: 1, 4: 1}",1
81,False,"{'a': 0.5, 'e': 0.9221563184394989}",25,0,-113.0476268250422,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.9212341621210594}",35,0,-100.5826596718391,"{0: 22, 1: 5, 2: 6, 3: 2, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.9203129279589383}",20,10,6.892091059473398,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.9193926150309794}",20,0,23.078589457361158,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.9184732224159483}",25,0,-152.86850313391082,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
86,False,"{'a': 0.5, 'e': 0.9175547491935324}",30,0,-269.7658259933929,"{0: 14, 1: 3, 2: 7, 3: 2, 4: 4}",0
87,False,"{'a': 0.5, 'e': 0.9166371944443389}",25,0,-85.18853873978544,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.9157205572498945}",25,0,-51.94119582111851,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.9148048366926447}",30,0,-136.78287179308342,"{0: 22, 1: 2, 2: 3, 3: 0, 4: 3}",0
90,False,"{'a': 0.5, 'e': 0.913890031855952}",25,0,-95.38367595757732,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.912976141824096}",25,0,-65.18208153815142,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.912063165682272}",20,10,-51.897779721049396,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
93,False,"{'a': 0.5, 'e': 0.9111511025165897}",25,0,-117.65791943967386,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
94,False,"{'a': 0.5, 'e': 0.9102399514140731}",25,15,-58.57233212519913,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
95,False,"{'a': 0.5, 'e': 0.9093297114626591}",30,0,-158.22294969337318,"{0: 21, 1: 0, 2: 4, 3: 3, 4: 2}",0
96,False,"{'a': 0.5, 'e': 0.9084203817511963}",30,0,-85.61580185730391,"{0: 16, 1: 8, 2: 6, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.9075119613694451}",20,0,-14.49928946365526,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.9066044494080757}",25,0,-125.45979960763792,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.9056978449586677}",20,0,-93.32408862551418,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
100,False,"{'a': 0.5, 'e': 0.9047921471137089}",35,0,-111.65134658306428,"{0: 25, 1: 1, 2: 7, 3: 1, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.9038873549665952}",25,0,-78.27829012868283,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.9029834676116286}",20,0,-80.415110119638,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
103,False,"{'a': 0.5, 'e': 0.902080484144017}",30,0,-202.87673676555647,"{0: 16, 1: 4, 2: 5, 3: 2, 4: 3}",0
104,False,"{'a': 0.5, 'e': 0.901178403659873}",20,0,-85.07776357065755,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
105,False,"{'a': 0.5, 'e': 0.9002772252562131}",25,0,-78.61111982085467,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.8993769480309569}",20,0,-114.92701396357643,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
107,False,"{'a': 0.5, 'e': 0.8984775710829259}",20,1,-97.65083393267996,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 1}",1
108,False,"{'a': 0.5, 'e': 0.8975790935118431}",30,0,-165.81300031148498,"{0: 20, 1: 1, 2: 5, 3: 1, 4: 3}",0
109,False,"{'a': 0.5, 'e': 0.8966815144183312}",20,2,-56.828625032002954,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
110,False,"{'a': 0.5, 'e': 0.8957848329039129}",20,0,-156.21858760079866,"{0: 8, 1: 5, 2: 4, 3: 1, 4: 2}",0
111,False,"{'a': 0.5, 'e': 0.894889048071009}",20,4,-139.50388716493654,"{0: 6, 1: 3, 2: 3, 3: 3, 4: 1}",1
112,False,"{'a': 0.5, 'e': 0.8939941590229379}",20,14,1.0451341576123268,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.893100164863915}",25,0,-85.12332247674924,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
114,False,"{'a': 0.5, 'e': 0.8922070646990511}",35,0,-79.2872244177703,"{0: 28, 1: 3, 2: 2, 3: 0, 4: 2}",0
115,False,"{'a': 0.5, 'e': 0.891314857634352}",20,0,-12.718122596935114,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.8904235427767176}",20,12,-21.526103644282806,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.889533119233941}",25,0,-135.44492336262724,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
118,False,"{'a': 0.5, 'e': 0.8886435861147071}",20,0,-110.30890986841553,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
119,False,"{'a': 0.5, 'e': 0.8877549425285923}",20,2,-71.16372650393107,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.8868671875860638}",25,0,-46.06537440170796,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.8859803203984776}",25,4,-28.950305707222604,"{0: 14, 1: 5, 2: 2, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.8850943400780792}",20,8,-12.466794176703239,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.8842092457380011}",25,15,-36.75752880626174,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
124,False,"{'a': 0.5, 'e': 0.8833250364922631}",35,0,-127.62670549018235,"{0: 22, 1: 1, 2: 11, 3: 0, 4: 1}",0
125,False,"{'a': 0.5, 'e': 0.8824417114557709}",30,0,-132.92042301578908,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 3}",0
126,False,"{'a': 0.5, 'e': 0.8815592697443151}",20,0,-122.77242912491228,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
127,False,"{'a': 0.5, 'e': 0.8806777104745708}",20,2,-123.1277092268736,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 2}",1
128,False,"{'a': 0.5, 'e': 0.8797970327640962}",30,0,-132.20121724409714,"{0: 21, 1: 2, 2: 3, 3: 2, 4: 2}",0
129,False,"{'a': 0.5, 'e': 0.8789172357313321}",25,0,-116.9140179946225,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
130,False,"{'a': 0.5, 'e': 0.8780383184956008}",30,6,-39.84030011765164,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.8771602801771051}",25,0,-9.451965874723617,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
132,False,"{'a': 0.5, 'e': 0.876283119896928}",20,0,-92.08772738584966,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
133,False,"{'a': 0.5, 'e': 0.8754068367770311}",20,6,-54.5989675635428,"{0: 8, 1: 1, 2: 4, 3: 1, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.8745314299402541}",25,2,-100.84672919276379,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 2}",1
135,False,"{'a': 0.5, 'e': 0.8736568985103138}",20,4,-22.77371175469482,"{0: 10, 1: 4, 2: 2, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.8727832416118035}",25,0,-123.85099453619023,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
137,False,"{'a': 0.5, 'e': 0.8719104583701917}",35,0,-121.86087888038418,"{0: 22, 1: 3, 2: 9, 3: 0, 4: 1}",0
138,False,"{'a': 0.5, 'e': 0.8710385479118216}",25,0,-22.356205845512896,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.8701675093639096}",20,0,-94.96936906353955,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
140,False,"{'a': 0.5, 'e': 0.8692973418545458}",20,0,-94.96830970546442,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
141,False,"{'a': 0.5, 'e': 0.8684280445126912}",30,0,-135.26573111491913,"{0: 21, 1: 0, 2: 6, 3: 1, 4: 2}",0
142,False,"{'a': 0.5, 'e': 0.8675596164681786}",25,9,-59.621860178321455,"{0: 13, 1: 0, 2: 0, 3: 2, 4: 1}",1
143,False,"{'a': 0.5, 'e': 0.8666920568517104}",25,0,-255.41830624558776,"{0: 11, 1: 0, 2: 9, 3: 1, 4: 4}",0
144,False,"{'a': 0.5, 'e': 0.8658253647948586}",25,0,-117.09390630228083,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
145,False,"{'a': 0.5, 'e': 0.8649595394300638}",25,0,-205.70529101204343,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 4}",0
146,False,"{'a': 0.5, 'e': 0.8640945798906338}",20,0,-36.797244679515806,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.8632304853107431}",20,0,-104.34418112796311,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
148,False,"{'a': 0.5, 'e': 0.8623672548254323}",30,0,-63.02630931363749,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
149,False,"{'a': 0.5, 'e': 0.861504887570607}",20,0,-74.78401203587785,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
150,False,"{'a': 0.5, 'e': 0.8606433826830363}",20,0,-192.43414949870066,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 4}",0
151,False,"{'a': 0.5, 'e': 0.8597827393003532}",35,0,-57.10289443883133,"{0: 27, 1: 4, 2: 3, 3: 0, 4: 1}",0
152,False,"{'a': 0.5, 'e': 0.8589229565610529}",25,0,-158.2578377718536,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
153,False,"{'a': 0.5, 'e': 0.8580640336044919}",20,0,-135.17704518360912,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
154,False,"{'a': 0.5, 'e': 0.8572059695708873}",20,6,-99.65738460271515,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 2}",1
155,False,"{'a': 0.5, 'e': 0.8563487636013165}",20,0,-113.38586472935425,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
156,False,"{'a': 0.5, 'e': 0.8554924148377152}",20,0,-141.203365180114,"{0: 10, 1: 0, 2: 7, 3: 2, 4: 1}",0
157,False,"{'a': 0.5, 'e': 0.8546369224228775}",20,0,-136.56839722602948,"{0: 13, 1: 1, 2: 1, 3: 3, 4: 2}",0
158,False,"{'a': 0.5, 'e': 0.8537822855004545}",20,0,-85.3459130587548,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
